Time_Stamps,AC_CabinTemp,AC_CabinTemp_FC,VEC,VEC_FC,VS
1548,29.15,23.35,0.68,0.4,52.21
1549,22.56,23.61,0.49,0.98,53.0
1550,30.23,23.31,0.77,0.61,68.73
1551,34.37,29.93,0.95,0.78,22.45
1552,29.82,24.55,0.12,0.45,65.88
1553,32.65,25.27,0.33,0.53,77.86
1554,33.49,24.26,0.32,0.43,67.66
1555,24.97,34.45,0.15,0.7,48.18
1556,24.76,33.11,0.81,0.85,99.17
1557,29.94,25.0,0.76,0.51,40.48
1558,27.34,26.26,0.48,0.48,10.66
1559,32.92,24.73,0.54,0.34,82.15
1560,33.7,28.39,0.06,0.18,21.22
1561,26.59,22.25,0.56,0.94,71.33
1562,25.08,30.73,0.79,0.32,17.9
1563,32.15,28.8,0.57,0.8,1.69
1564,25.57,33.68,0.27,0.72,15.98
1565,32.69,24.14,0.67,0.79,37.7
1566,27.51,32.45,0.36,0.94,10.66
1567,30.68,32.3,0.54,0.62,19.77
1568,23.24,23.65,0.49,0.9,76.46
1569,30.11,27.18,0.38,0.17,76.99
1570,27.87,24.21,0.72,0.63,81.75
1571,29.63,25.31,0.88,0.77,84.12
1572,24.18,25.42,0.01,0.27,42.04
1573,31.58,29.23,0.93,0.74,86.75
1574,33.22,27.35,0.51,0.78,52.59
1575,24.82,34.32,0.7,0.83,47.06
1576,23.24,23.64,0.86,0.31,71.85
1577,22.31,34.66,0.47,0.68,21.38
1578,30.35,25.0,0.83,0.3,78.95
1579,29.89,32.05,0.18,0.74,42.95
1580,29.11,26.41,0.16,0.46,12.73
1581,25.02,23.86,0.66,0.6,11.93
1582,27.08,33.15,0.87,0.42,16.49
1583,29.73,26.02,0.89,0.16,89.06
1584,28.46,30.57,0.64,0.18,99.09
1585,34.84,29.36,0.53,0.08,35.7
1586,23.77,28.13,0.33,0.62,29.21
1587,31.04,28.45,0.98,0.85,21.88
1588,27.26,31.52,0.32,0.02,82.38
1589,27.57,23.14,0.74,0.07,20.92
1590,31.33,30.69,0.53,0.46,92.41
1591,31.0,33.65,0.61,0.74,66.74
1592,34.89,22.75,0.39,0.16,89.71
1593,23.67,23.83,0.96,0.27,55.4
1594,23.35,31.32,0.57,0.23,69.07
1595,31.42,27.68,0.94,0.4,61.95
1596,29.52,27.25,0.01,0.22,83.12
1597,25.56,23.78,0.57,0.35,83.59
1598,23.03,28.59,0.72,0.73,58.98
1599,23.11,23.65,0.75,0.61,63.25
1600,33.62,28.2,0.9,0.08,92.19
1601,24.49,31.93,0.0,0.64,92.99
1602,26.2,25.36,0.0,0.48,66.42
1603,24.95,28.25,0.47,0.93,0.78
1604,26.61,34.9,0.03,0.29,10.44
1605,22.9,30.93,0.97,0.73,85.79
1606,28.75,32.94,0.22,0.73,8.47
1607,22.88,27.39,0.47,0.22,21.35
1608,32.4,31.98,0.06,0.9,23.05
1609,25.04,22.53,0.52,0.49,60.02
1610,29.02,23.6,0.38,0.68,57.66
1611,33.44,24.64,0.04,0.15,28.94
1612,30.46,27.23,0.34,0.26,20.76
1613,28.93,32.99,0.39,0.59,76.45
1614,26.22,26.5,0.99,0.32,93.55
1615,26.33,30.51,0.21,0.5,5.28
1616,30.7,31.22,0.54,0.37,13.32
1617,34.92,29.62,0.99,0.64,64.22
1618,30.6,26.64,0.79,0.49,80.44
1619,29.25,29.5,0.99,0.0,79.12
1620,31.5,26.45,0.97,0.65,71.97
1621,28.05,23.09,0.49,0.42,88.74
1622,22.78,34.91,0.7,0.34,21.73
1623,29.31,23.65,0.11,0.09,10.73
1624,34.45,22.94,0.44,0.22,61.54
1625,24.28,33.42,0.81,0.22,82.23
1626,30.97,25.92,0.51,0.94,58.2
1627,24.61,30.45,0.7,0.43,96.3
1628,28.97,26.28,0.75,0.04,79.56
1629,23.26,27.09,0.25,0.14,70.08
1630,27.85,25.41,0.88,0.08,6.03
1631,31.83,26.46,0.46,0.59,10.77
1632,26.52,27.34,0.21,0.19,78.48
1633,30.64,31.37,0.87,0.5,19.82
1634,32.34,28.65,0.42,0.37,2.88
1635,34.05,34.27,0.75,0.8,91.08
1636,25.05,22.54,0.55,0.32,89.08
1637,27.19,28.54,0.38,0.46,21.85
1638,23.98,29.59,0.81,0.72,78.02
1639,34.9,33.96,0.58,0.43,4.8
1640,34.05,22.64,0.39,0.79,28.51
1641,29.02,29.46,0.11,0.66,62.37
1642,32.95,33.1,0.9,0.41,76.32
1643,28.77,25.15,0.04,0.5,1.04
1644,30.11,33.39,0.86,0.97,32.62
1645,23.16,22.25,0.36,0.66,21.43
1646,31.82,31.52,0.64,0.9,99.88
1647,23.66,34.13,0.92,0.18,67.1
1648,32.74,30.54,0.15,0.48,40.57
1649,32.17,27.71,0.57,0.91,7.57
1650,31.21,22.58,0.76,0.32,59.87
1651,22.47,33.96,0.76,0.97,64.17
1652,25.94,28.11,0.53,0.1,81.64
1653,25.42,22.38,0.62,0.9,28.86
1654,26.68,30.97,0.76,0.45,98.14
1655,23.14,28.26,0.84,0.07,43.95
1656,34.18,23.62,0.76,0.88,29.59
1657,29.2,24.79,0.35,0.25,34.84
1658,25.97,22.84,1.0,0.02,51.96
1659,27.16,29.47,0.43,0.14,93.67
1660,27.81,30.09,0.02,0.66,73.52
1661,29.81,28.57,0.36,0.98,57.71
1662,28.7,32.62,0.13,0.11,16.28
1663,33.95,33.19,0.12,0.46,14.94
1664,28.46,30.0,0.28,0.18,50.22
1665,34.9,22.17,0.05,0.75,72.87
1666,33.07,31.04,0.69,0.12,75.1
1667,24.71,27.43,0.07,0.24,22.59
1668,34.1,29.35,0.2,0.2,10.01
1669,23.51,30.44,0.09,0.55,38.45
1670,32.63,26.55,0.06,0.87,91.82
1671,26.95,33.92,0.27,0.51,54.54
1672,33.41,23.74,0.57,0.06,32.01
1673,33.28,30.73,0.96,0.56,32.36
1674,32.48,22.06,0.88,0.8,13.21
1675,32.27,34.02,0.88,0.13,47.32
1676,25.96,23.46,0.18,0.07,79.14
1677,23.05,23.23,0.26,0.19,96.86
1678,27.24,26.33,0.08,0.75,50.16
1679,24.26,26.86,0.78,0.59,16.72
1680,31.03,24.79,0.07,0.54,68.3
1681,26.5,29.61,0.56,0.25,75.68
1682,34.68,27.76,0.25,0.33,7.17
1683,30.33,22.44,0.24,0.97,85.01
1684,32.69,26.16,0.99,0.24,82.93
1685,23.72,32.54,0.76,0.9,47.25
1686,33.21,30.97,0.84,0.58,56.04
1687,34.0,31.42,0.57,0.12,71.34
1688,28.33,31.08,0.87,0.47,67.67
1689,29.88,26.04,0.65,0.95,1.65
1690,31.94,23.3,0.95,0.42,12.24
1691,24.27,25.54,0.28,0.86,16.26
1692,28.53,32.81,0.6,0.26,75.57
1693,27.18,34.75,0.69,0.57,44.01
1694,23.9,28.42,0.39,0.84,54.55
1695,26.78,22.13,0.88,0.92,77.27
1696,22.89,23.82,0.98,0.49,34.1
1697,22.34,26.19,0.49,0.64,74.89
1698,23.76,29.52,0.39,0.0,44.23
1699,34.52,22.98,0.47,0.25,37.72
1700,29.14,34.26,0.85,0.28,33.3
1701,34.56,26.75,0.65,0.09,96.49
1702,27.62,33.86,0.04,0.28,77.2
1703,26.05,32.15,0.54,0.32,2.02
1704,28.58,31.82,0.02,0.97,95.74
1705,27.71,29.89,0.78,0.67,77.54
1706,23.37,30.15,0.33,0.43,14.92
1707,30.33,30.29,0.47,0.99,7.63
1708,24.81,30.17,0.8,0.15,30.82
1709,30.05,29.2,0.05,0.48,62.42
1710,30.45,34.82,0.16,0.65,61.65
1711,23.98,31.52,0.4,0.06,27.59
1712,22.8,32.1,0.23,0.72,44.57
1713,32.15,33.34,0.34,0.1,21.19
1714,27.98,24.8,1.0,0.14,5.06
1715,22.76,23.09,0.83,0.16,51.7
1716,34.93,28.28,0.88,0.93,34.7
1717,22.75,28.68,0.94,0.68,54.29
1718,31.04,32.78,0.34,0.66,94.65
1719,34.79,27.77,0.3,0.56,14.34
1720,25.11,29.42,0.23,0.29,0.2
1721,23.85,28.85,0.83,0.62,7.69
1722,23.58,22.5,0.68,0.41,46.27
1723,25.94,30.0,0.24,0.15,70.69
1724,23.31,32.76,0.38,0.69,58.08
1725,31.0,24.05,0.51,0.13,49.49
1726,22.81,29.73,0.53,0.19,35.4
1727,28.62,29.72,0.89,0.82,31.0
1728,34.96,24.13,0.38,0.66,37.63
1729,32.58,23.61,0.91,0.63,61.16
1730,30.0,34.74,0.44,0.42,16.78
1731,25.98,27.12,0.75,0.4,77.14
1732,30.11,24.96,0.93,0.69,57.53
1733,28.85,24.23,0.91,0.74,26.92
1734,27.54,30.68,0.06,0.51,50.12
1735,23.7,29.92,0.21,0.97,96.28
1736,33.53,30.37,0.48,0.96,2.05
1737,27.85,23.14,0.43,0.41,19.95
1738,24.53,33.62,0.64,0.82,44.84
1739,26.78,27.06,0.94,0.54,63.84
1740,27.38,26.07,0.11,0.51,21.22
1741,32.76,28.01,0.45,0.05,93.14
1742,31.54,27.07,0.19,0.57,64.26
1743,32.0,33.23,0.89,0.9,87.74
1744,22.14,34.08,0.96,0.78,32.93
1745,27.41,25.94,0.48,0.79,82.9
1746,28.26,33.23,0.1,0.16,37.82
1747,22.25,32.16,0.79,0.36,25.28
1748,25.38,34.1,0.7,0.23,91.17
1749,31.88,25.19,0.35,0.32,9.22
1750,23.78,29.5,0.89,0.58,94.29
1751,28.96,25.57,0.98,0.36,45.85
1752,24.8,32.71,0.56,0.56,99.26
1753,22.16,22.07,0.57,0.44,53.96
1754,25.14,29.34,0.3,0.29,75.75
1755,34.69,26.41,0.58,0.1,0.71
1756,32.42,26.19,0.44,0.89,49.67
1757,34.47,30.38,0.3,0.01,73.75
1758,28.34,33.07,0.07,0.0,78.28
1759,23.43,29.92,0.25,0.83,15.8
1760,29.12,33.09,0.2,1.0,41.9
1761,27.91,25.44,0.54,0.73,41.91
1762,32.98,28.75,0.6,0.02,10.36
1763,23.28,27.86,0.61,0.23,44.3
1764,28.35,22.15,0.39,0.97,80.71
1765,23.95,29.24,0.42,0.81,30.02
1766,26.22,30.6,0.83,0.57,43.26
1767,31.59,29.69,0.48,0.24,96.1
1768,28.19,31.57,0.99,0.01,3.17
1769,26.89,29.43,0.44,0.02,59.15
1770,27.13,22.87,0.65,0.61,74.34
1771,27.97,23.51,0.05,0.02,76.09
1772,32.21,29.75,0.65,0.99,71.59
1773,33.6,25.57,0.85,0.18,72.65
1774,34.42,23.04,0.94,0.71,5.9
1775,32.23,27.58,1.0,0.16,53.41
1776,26.1,29.21,0.28,0.54,78.3
1777,30.95,26.27,0.58,0.08,9.41
1778,27.69,31.37,0.45,0.77,1.2
1779,25.31,30.37,0.56,0.58,81.46
1780,32.93,26.33,0.16,0.09,71.23
1781,22.5,31.81,0.86,0.85,41.22
1782,33.72,30.43,0.91,0.55,94.04
1783,28.0,30.29,0.45,0.92,76.66
1784,30.28,29.19,0.28,0.92,96.79
1785,30.57,22.15,0.14,0.92,92.93
1786,33.64,31.05,0.68,0.08,48.13
1787,30.28,26.89,0.31,0.12,75.47
1788,29.98,34.25,0.91,0.99,66.92
1789,22.87,32.63,0.67,0.49,81.14
1790,28.74,29.64,0.65,0.24,78.77
1791,23.95,25.28,0.56,0.77,15.32
1792,31.59,24.65,0.05,0.26,23.37
1793,28.66,26.43,0.93,0.73,26.57
1794,30.84,28.2,0.63,0.84,81.85
1795,22.54,25.85,0.99,0.78,81.07
1796,23.1,28.69,0.54,0.27,49.53
1797,31.31,24.15,0.71,0.4,58.08
1798,22.94,34.71,0.06,0.41,82.69
1799,22.93,23.4,0.63,0.49,31.26
1800,22.16,34.12,0.76,0.17,5.02
1801,34.43,33.88,0.78,0.45,48.26
1802,31.59,28.83,0.77,0.51,91.37
1803,26.59,31.42,0.23,0.53,79.05
1804,25.85,27.67,0.98,0.82,36.66
1805,26.55,30.19,1.0,0.52,6.48
1806,32.07,26.43,0.08,0.23,63.69
1807,30.6,25.92,0.94,0.66,83.45
1808,24.41,29.52,0.29,0.8,66.49
1809,24.26,28.48,0.69,0.32,42.51
1810,23.28,29.53,0.34,0.65,12.34
1811,30.58,25.73,0.97,0.15,91.08
1812,31.94,26.77,0.1,0.34,27.6
1813,25.45,23.09,0.5,0.91,22.43
1814,22.27,22.68,0.43,0.91,81.6
1815,23.07,25.29,0.33,0.58,98.12
1816,34.58,22.97,0.65,0.7,66.02
1817,25.84,23.35,0.13,0.85,62.48
1818,32.0,32.57,0.72,0.96,31.94
1819,30.12,22.51,0.98,0.49,2.04
1820,26.97,30.57,0.8,0.56,19.18
1821,24.67,25.54,0.86,0.42,58.44
1822,23.58,33.33,0.36,0.07,15.13
1823,30.0,28.3,0.32,0.42,88.38
1824,32.07,25.97,0.52,0.79,18.81
1825,30.37,28.73,0.05,0.8,52.21
1826,28.89,26.97,0.95,0.89,51.2
1827,22.55,29.34,0.14,0.05,60.39
1828,34.59,23.49,0.9,0.53,32.74
1829,32.38,34.96,0.08,0.11,87.35
1830,25.81,27.53,0.82,0.2,44.43
1831,34.74,26.53,0.15,0.9,70.02
1832,29.82,31.23,0.04,0.5,63.59
1833,29.57,26.73,0.72,0.76,11.72
1834,31.72,32.83,0.28,0.06,62.26
1835,32.55,27.91,0.71,0.42,55.07
1836,30.53,31.35,0.56,0.67,89.86
1837,23.67,23.4,0.11,0.13,88.09
1838,26.4,33.0,0.93,0.33,15.1
1839,34.07,31.56,0.45,0.06,8.17
1840,24.92,24.75,0.73,0.65,29.46
1841,26.84,23.89,0.5,0.97,98.66
1842,27.62,26.11,0.6,0.83,2.16
1843,27.71,34.69,0.3,0.97,67.29
1844,29.97,25.34,0.2,0.85,60.85
1845,34.26,27.93,0.54,0.86,64.66
1846,25.13,22.39,0.44,0.58,21.83
1847,23.58,27.16,0.39,0.52,22.67
1848,24.57,29.43,0.67,0.41,43.06
1849,33.53,34.39,0.69,0.82,9.59
1850,30.4,28.72,0.05,0.18,7.46
1851,25.72,32.65,0.34,0.06,8.84
1852,32.61,29.11,0.41,0.95,57.3
1853,33.2,22.53,0.1,0.0,39.77
1854,33.0,26.1,0.24,0.98,29.36
1855,33.95,29.48,0.05,0.73,31.58
1856,25.28,34.36,1.0,0.33,20.73
1857,31.82,33.17,0.74,0.7,41.15
1858,27.99,24.97,0.09,0.82,20.31
1859,32.95,24.86,0.02,0.25,69.8
1860,31.47,24.62,0.72,0.77,12.39
1861,32.09,33.99,0.44,0.8,94.82
1862,30.53,33.08,0.79,0.25,8.98
1863,24.31,32.07,0.92,0.04,94.35
1864,29.09,27.11,0.6,0.2,83.33
1865,34.8,28.56,0.19,0.2,68.07
1866,34.19,28.04,0.78,0.07,91.23
1867,22.56,25.29,0.96,0.73,13.92
1868,24.14,28.57,0.58,0.38,17.63
1869,23.71,22.4,0.68,0.88,25.22
1870,31.44,23.71,0.34,0.25,24.48
1871,32.63,33.53,0.38,0.45,31.08
1872,24.78,31.77,0.73,0.64,57.56
1873,28.58,27.5,0.93,0.88,2.82
1874,32.93,28.72,0.63,0.52,38.23
1875,31.53,26.81,0.79,0.37,24.64
1876,29.05,31.63,0.17,0.87,60.66
1877,29.67,32.19,0.21,0.31,98.52
1878,28.61,31.92,0.53,0.08,51.77
1879,25.87,31.39,0.18,0.45,42.57
1880,29.35,24.66,0.63,0.79,36.82
1881,30.96,26.39,0.29,0.03,78.49
1882,33.35,28.11,0.79,0.59,7.2
1883,30.27,26.3,0.81,0.59,95.98
1884,31.89,31.81,0.46,0.93,41.79
1885,24.08,26.28,0.18,0.29,31.37
1886,28.0,23.8,0.65,0.28,97.41
1887,22.12,27.19,0.99,0.44,93.59
1888,25.21,34.74,0.62,0.36,64.19
1889,31.44,24.94,0.04,0.74,1.85
1890,34.89,29.96,0.02,0.64,74.85
1891,23.29,27.63,0.32,0.76,33.56
1892,27.22,22.92,0.2,0.82,38.83
1893,32.4,28.34,0.81,0.92,15.87
1894,24.65,31.13,0.84,0.43,52.35
1895,29.22,28.67,0.26,0.98,74.46
1896,31.53,33.34,0.33,0.22,27.3
1897,30.01,25.76,0.24,0.71,93.87
1898,24.44,23.12,0.91,0.53,19.47
1899,26.62,34.18,0.5,0.82,6.63
1900,32.19,26.92,0.66,0.48,64.44
1901,29.2,29.49,0.42,0.78,84.93
1902,22.07,32.3,0.63,0.93,95.31
1903,31.89,26.22,0.39,0.73,76.72
1904,22.46,31.31,0.34,0.78,19.97
1905,31.69,23.76,0.63,0.07,97.77
1906,24.63,25.79,0.59,0.2,91.94
1907,34.45,23.88,0.29,0.97,16.32
1908,26.78,32.55,0.15,0.69,55.88
1909,26.25,24.89,0.37,0.56,55.55
1910,23.94,31.33,0.42,0.37,44.25
1911,25.97,34.26,0.63,0.04,98.43
1912,33.4,28.86,0.91,0.37,5.96
1913,34.95,29.02,0.04,0.5,62.72
1914,26.79,27.99,0.24,0.21,20.53
1915,27.83,26.24,0.19,0.17,52.73
1916,31.39,28.18,0.5,0.51,77.97
1917,33.52,29.84,0.43,0.59,24.67
1918,29.71,34.82,0.73,0.24,39.34
1919,27.09,34.19,0.24,0.59,95.08
1920,27.36,33.21,0.59,0.9,76.15
1921,31.04,33.56,0.88,0.47,57.27
1922,22.04,28.08,0.91,0.86,22.2
1923,30.05,30.55,0.96,0.93,42.53
1924,26.62,33.64,0.77,0.09,77.41
1925,32.32,27.11,0.91,0.1,82.05
1926,23.21,34.5,0.23,0.48,24.46
1927,29.65,27.41,0.2,0.59,66.21
1928,28.25,29.81,0.01,0.43,9.5
1929,30.35,31.23,0.71,0.33,2.32
1930,22.84,34.36,0.94,0.64,54.87
1931,29.54,25.18,0.19,0.0,22.44
1932,29.3,31.7,0.64,0.97,7.89
1933,29.29,28.77,0.75,0.23,72.98
1934,29.85,25.49,0.93,0.92,49.8
1935,30.79,32.1,0.65,0.11,79.63
1936,32.46,29.18,0.97,0.24,66.39
1937,25.51,30.59,0.34,0.23,72.98
1938,32.73,26.2,0.35,1.0,30.74
1939,28.48,28.26,0.54,0.0,26.33
1940,23.0,30.03,0.38,0.64,60.09
1941,22.76,27.26,0.0,0.87,20.01
1942,26.35,24.58,0.73,0.67,81.54
1943,32.2,34.5,0.75,0.36,52.29
1944,31.2,28.65,0.75,0.96,22.7
1945,32.25,31.54,0.35,0.89,62.52
1946,28.72,27.34,0.52,0.43,94.5
1947,27.72,26.62,0.36,0.57,8.21
1948,23.92,27.29,0.02,0.97,10.93
1949,26.27,27.32,0.56,0.98,84.38
1950,27.64,29.07,0.12,0.45,10.96
1951,23.15,29.07,0.08,0.85,3.94
1952,24.87,28.46,0.76,0.3,34.79
1953,29.78,23.75,0.01,0.37,46.67
1954,31.56,28.45,0.96,0.16,56.94
1955,34.98,24.2,0.52,0.21,50.73
1956,34.13,23.64,0.98,0.66,91.32
1957,30.35,34.12,0.06,0.51,76.87
1958,27.48,29.86,0.58,0.23,98.38
1959,30.27,30.57,0.35,0.4,47.65
1960,32.21,27.22,0.84,0.37,8.43
1961,23.54,33.82,0.36,0.99,95.55
1962,27.33,30.29,0.26,0.85,0.41
1963,32.92,32.0,0.86,0.39,77.61
1964,26.99,26.79,0.37,0.91,3.13
1965,29.43,34.48,0.02,0.34,76.12
1966,29.64,32.67,0.39,0.67,93.79
1967,24.4,33.1,0.65,0.97,38.93
1968,26.71,24.24,0.25,0.39,24.1
1969,26.35,25.52,0.43,0.68,22.63
1970,22.34,25.71,0.06,0.3,49.17
1971,22.31,25.52,0.59,0.27,17.09
1972,32.81,33.12,0.76,0.57,67.29
1973,25.55,22.41,0.41,0.98,36.84
1974,28.74,22.99,0.42,0.45,32.31
1975,25.88,25.56,0.09,0.94,46.13
1976,34.23,24.6,0.2,0.91,54.26
1977,25.37,25.01,0.15,0.25,14.19
1978,27.59,32.37,0.48,0.4,70.78
1979,33.35,29.32,0.53,0.64,88.29
1980,32.95,22.08,0.95,0.52,27.8
1981,24.42,27.58,0.07,0.1,18.04
1982,32.43,27.3,0.6,0.99,76.05
1983,27.96,23.48,0.53,0.75,18.35
1984,28.28,30.79,0.52,0.44,4.13
1985,23.74,31.13,0.87,0.62,61.92
1986,23.05,31.37,0.21,0.09,23.98
1987,31.46,31.47,0.04,0.5,17.18
1988,28.45,22.0,0.67,0.93,98.16
1989,27.68,34.4,0.35,0.9,29.19
1990,31.48,32.58,0.02,0.34,90.34
1991,31.95,33.75,0.25,0.53,17.82
1992,24.07,22.2,0.31,0.7,81.9
1993,29.93,34.14,0.62,0.34,50.2
1994,23.76,32.53,0.17,0.06,7.86
1995,31.77,32.88,0.41,0.51,73.36
1996,30.54,23.21,0.48,0.6,89.21
1997,34.44,31.6,0.46,0.01,16.3
1998,22.9,34.48,0.97,0.1,72.56
1999,22.74,30.82,0.05,0.21,44.51
2000,25.67,29.42,0.95,0.35,75.39
2001,25.4,34.29,0.58,0.54,71.39
2002,25.21,27.76,0.8,0.29,2.66
2003,33.78,29.79,0.43,0.28,17.87
2004,25.24,28.19,0.45,0.87,47.1
2005,25.54,34.13,0.88,0.15,93.36
2006,31.87,22.99,0.9,0.5,34.21
2007,27.85,28.51,0.24,0.95,62.89
2008,32.1,30.93,0.2,0.63,1.21
2009,22.85,32.29,0.5,0.72,71.11
2010,28.34,29.58,0.9,0.43,60.31
2011,22.44,33.82,0.32,0.02,71.54
2012,22.81,34.25,0.65,0.65,90.47
2013,33.78,22.84,0.71,0.63,14.65
2014,23.81,27.23,0.78,0.11,26.16
2015,28.92,22.3,0.56,0.46,99.58
2016,27.34,26.28,0.4,0.92,15.63
2017,26.52,28.98,0.97,0.21,72.06
2018,33.7,33.84,0.61,0.46,72.51
2019,22.28,33.01,0.73,0.46,68.3
2020,30.63,23.66,0.34,0.81,22.74
2021,34.52,23.21,0.67,0.82,21.51
2022,29.28,29.66,0.26,0.76,66.63
2023,34.18,28.92,0.25,0.37,18.63
2024,22.68,25.46,0.71,0.07,66.16
2025,27.44,33.69,0.52,0.35,49.25
2026,25.38,34.06,0.68,0.68,38.66
2027,31.5,27.23,0.27,0.7,30.02
2028,34.76,33.57,0.6,0.97,94.76
2029,25.33,26.99,0.44,0.45,50.81
2030,30.5,31.58,0.6,0.63,56.13
2031,24.58,28.19,0.29,0.54,94.93
2032,29.35,23.59,0.72,0.15,65.39
2033,28.03,34.06,0.81,0.46,95.79
2034,34.64,27.9,0.26,0.54,10.64
2035,29.91,31.55,0.3,0.95,84.66
2036,26.54,26.77,0.66,0.37,33.54
2037,23.48,22.25,0.7,0.98,81.05
2038,23.97,23.31,0.7,0.54,85.56
2039,24.93,28.45,0.68,0.24,27.15
2040,25.26,30.97,0.39,0.19,40.88
2041,33.06,26.35,0.39,0.14,72.6
2042,29.3,31.04,0.25,0.45,9.91
2043,28.8,31.08,0.16,0.02,75.55
2044,23.49,31.15,0.69,0.45,11.05
2045,33.18,28.4,0.09,0.99,91.45
2046,31.4,33.89,0.94,0.67,27.63
2047,22.88,28.36,0.83,0.76,57.56
2048,31.2,27.85,0.86,0.12,11.72
2049,29.07,24.59,0.91,0.47,26.95
2050,23.06,26.0,0.41,0.29,40.4
2051,27.96,22.55,0.85,0.89,48.7
2052,28.3,30.24,0.16,0.18,0.01
2053,24.16,25.23,0.02,0.46,88.87
2054,34.29,25.95,0.78,0.59,0.77
2055,33.05,32.02,0.07,0.51,77.37
2056,30.7,26.25,0.99,0.83,47.06
2057,28.01,25.15,0.67,0.23,52.39
2058,27.35,24.2,0.75,0.38,20.83
2059,30.46,32.07,0.25,0.79,60.74
2060,29.09,23.69,0.67,0.53,53.72
2061,22.81,27.9,0.04,0.4,16.42
2062,28.66,28.59,0.84,0.03,23.81
2063,32.48,30.94,0.17,0.75,6.69
2064,27.97,30.23,0.7,0.97,6.63
2065,22.68,32.54,0.22,0.62,1.38
2066,32.22,22.58,0.07,0.86,22.05
2067,24.62,25.85,0.48,0.52,67.97
2068,25.36,25.64,0.17,0.23,31.62
2069,24.14,23.9,0.73,0.01,34.27
2070,26.29,25.76,0.24,0.65,13.19
2071,31.84,26.03,0.34,0.49,57.55
2072,28.75,28.78,0.57,0.78,34.21
2073,24.66,30.63,0.28,0.69,67.63
2074,33.41,26.95,0.38,0.99,74.15
2075,33.43,31.35,0.82,0.51,58.47
2076,33.32,26.37,0.18,0.43,27.61
2077,25.1,25.77,0.08,0.29,50.86
2078,27.87,29.04,0.33,0.48,25.19
2079,34.8,22.31,0.42,0.87,90.29
2080,32.04,23.04,0.54,0.04,76.64
2081,22.35,27.43,0.37,0.98,49.3
2082,22.85,34.26,0.79,0.99,96.55
2083,28.03,31.38,0.04,0.6,54.68
2084,33.82,23.15,0.43,0.33,32.85
2085,29.0,33.0,0.38,0.22,9.55
2086,28.47,31.52,0.65,0.28,54.37
2087,23.37,29.94,0.97,0.05,86.04
2088,30.54,32.66,0.51,0.48,86.67
2089,32.69,27.25,0.99,0.06,60.46
2090,26.95,24.88,0.3,0.72,39.34
2091,32.08,28.66,0.03,0.37,65.03
2092,34.54,29.13,0.17,0.2,76.21
2093,24.65,29.0,0.4,0.54,41.16
2094,28.8,29.35,0.32,0.97,47.63
2095,25.73,34.33,0.1,0.7,68.06
2096,32.31,33.73,0.43,0.49,87.67
2097,29.51,33.38,0.34,0.78,79.1
2098,30.25,32.42,0.12,0.74,2.24
2099,32.37,34.26,0.3,0.89,12.44
2100,27.15,23.28,0.89,0.2,85.28
2101,33.9,25.45,0.3,0.86,83.38
2102,28.93,28.44,0.71,0.3,38.88
2103,24.05,33.0,0.61,0.94,58.43
2104,31.05,28.57,0.43,0.28,90.58
2105,32.31,31.72,0.24,0.93,91.16
2106,26.12,23.81,0.37,0.96,78.31
2107,33.14,25.28,0.59,0.15,20.96
2108,33.78,31.51,0.35,0.97,73.03
2109,25.6,24.14,0.21,0.09,10.11
2110,34.79,26.57,0.12,0.22,89.39
2111,23.83,25.44,0.88,0.44,14.91
2112,24.63,26.55,0.44,0.99,66.23
2113,24.39,31.21,0.63,0.49,61.02
2114,33.62,26.78,0.49,0.55,77.69
2115,30.51,29.22,0.87,0.69,55.16
2116,23.98,23.3,0.55,0.97,5.96
2117,27.72,32.47,0.48,0.78,70.58
2118,30.0,26.81,0.92,0.22,38.32
2119,23.09,30.43,0.72,0.3,32.03
2120,33.47,31.43,0.11,0.1,99.17
2121,32.45,24.73,0.18,0.64,59.04
2122,28.57,33.5,0.79,0.18,71.07
2123,34.57,30.01,0.84,0.26,52.63
2124,27.43,27.57,0.55,0.89,77.0
2125,34.79,24.37,0.55,0.33,75.21
2126,30.68,34.25,0.63,0.57,65.71
2127,30.25,31.82,0.44,0.4,99.77
2128,24.16,24.7,0.68,0.07,45.98
2129,33.47,26.39,0.11,0.36,70.62
2130,27.56,32.53,0.96,0.41,79.78
2131,24.11,31.04,0.75,0.9,37.6
2132,22.16,31.96,0.63,0.32,45.72
2133,29.28,27.74,0.32,0.38,96.92
2134,28.86,31.31,0.16,0.78,3.23
2135,31.35,27.02,0.41,0.76,33.53
2136,33.57,24.75,0.66,0.8,48.62
2137,23.03,30.22,0.63,0.95,0.15
2138,31.51,34.69,0.38,0.8,89.91
2139,24.44,26.04,0.61,0.41,28.62
2140,33.16,27.99,0.81,0.82,25.77
2141,32.65,30.76,0.03,0.51,82.03
2142,29.03,29.04,0.45,0.28,27.8
2143,31.23,32.96,0.76,0.3,65.76
2144,26.09,31.9,0.55,0.22,82.15
2145,28.13,22.76,0.65,0.14,79.25
2146,32.68,34.98,0.52,0.18,78.2
2147,27.97,31.78,0.99,0.06,8.86
2148,26.65,33.23,0.05,0.89,7.98
2149,28.42,30.47,0.49,0.93,30.68
2150,32.77,33.13,0.09,0.59,3.59
2151,26.36,23.46,0.16,0.84,50.04
2152,24.26,26.52,0.38,0.18,39.48
2153,31.26,33.39,0.16,0.9,55.7
